"Start Time (GMT)","End Time (GMT)","Service","Value"
"165/10:02:25","165/10:26:13","S AVAIL","true"
"165/10:14:10","165/10:35:37","KU AVAIL","true"
"165/10:37:13","165/10:41:12","S AVAIL","true"
"165/10:51:02","165/10:53:36","S AVAIL","true"
"165/10:56:29","165/10:58:44","S AVAIL","true"
"165/10:59:16","165/11:33:32","KU AVAIL","true"
"165/10:59:53","165/11:33:32","S AVAIL","true"
"165/11:33:52","165/12:17:20","KU AVAIL","true"
"165/11:33:52","165/12:08:29","S AVAIL","true"
"165/12:21:52","165/12:24:34","S AVAIL","true"
"165/12:30:44","165/13:14:56","S AVAIL","true"
"165/12:36:47","165/13:14:56","KU AVAIL","true"
"165/13:15:16","165/14:00:36","KU AVAIL","true"
"165/13:15:16","165/13:52:00","S AVAIL","true"
"165/13:58:51","165/14:00:00","S AVAIL","true"
"165/14:09:14","165/14:56:55","S AVAIL","true"
"165/14:17:53","165/14:53:10","KU AVAIL","true"
