"Start Time (GMT)","End Time (GMT)","Service","Value"
"154/18:16:59","154/18:53:22","S AVAIL","true"
"154/18:53:42","154/19:28:56","KU AVAIL","true"
"154/18:53:42","154/19:28:56","S AVAIL","true"
"154/19:29:16","154/20:07:24","KU AVAIL","true"
"154/19:29:16","154/20:07:24","S AVAIL","true"
"154/20:25:52","154/21:13:29","S AVAIL","true"
"154/20:31:30","154/21:06:34","KU AVAIL","true"
"154/21:15:45","154/21:16:40","S AVAIL","true"
"154/21:19:21","154/21:26:31","S AVAIL","true"
"154/21:28:33","154/22:05:08","S AVAIL","true"
"154/21:29:01","154/22:08:49","KU AVAIL","true"
"154/22:06:10","154/22:08:49","S AVAIL","true"
"154/22:09:09","154/22:50:28","KU AVAIL","true"
"154/22:09:09","154/22:49:42","S AVAIL","true"
"154/22:58:35","154/23:39:39","KU AVAIL","true"
"154/23:06:04","154/23:39:39","S AVAIL","true"
"154/23:39:59","155/00:26:45","KU AVAIL","true"
"154/23:39:59","155/00:26:26","S AVAIL","true"
"155/00:40:11","155/00:41:32","KU AVAIL","true"
"155/00:40:22","155/01:21:38","S AVAIL","true"
"155/00:42:34","155/01:21:38","KU AVAIL","true"
"155/01:21:58","155/02:05:09","KU AVAIL","true"
"155/01:21:58","155/02:05:19","S AVAIL","true"
"155/02:22:50","155/02:23:58","KU AVAIL","true"
"155/02:25:41","155/03:02:08","KU AVAIL","true"
"155/02:26:31","155/03:02:08","S AVAIL","true"
"155/03:02:28","155/03:47:04","KU AVAIL","true"
"155/03:02:28","155/03:47:20","S AVAIL","true"
"155/04:03:29","155/04:44:46","KU AVAIL","true"
"155/04:12:28","155/04:44:46","S AVAIL","true"
"155/04:45:06","155/05:29:21","KU AVAIL","true"
"155/04:45:06","155/05:29:21","S AVAIL","true"
"155/05:41:04","155/06:24:29","S AVAIL","true"
"155/05:50:19","155/06:24:29","KU AVAIL","true"
"155/06:24:49","155/07:09:03","S AVAIL","true"
"155/06:25:36","155/07:09:03","KU AVAIL","true"
"155/07:18:58","155/08:04:30","S AVAIL","true"
"155/07:27:39","155/08:04:30","KU AVAIL","true"
"155/08:04:50","155/08:47:46","KU AVAIL","true"
"155/08:04:50","155/08:47:46","S AVAIL","true"
"155/08:48:06","155/09:01:22","KU AVAIL","true"
"155/08:48:06","155/09:01:22","S AVAIL","true"
"155/09:01:42","155/09:45:02","KU AVAIL","true"
"155/09:01:42","155/09:45:02","S AVAIL","true"
"155/09:45:22","155/10:20:23","KU AVAIL","true"
"155/09:45:22","155/10:22:42","S AVAIL","true"
"155/10:23:02","155/10:42:23","KU AVAIL","true"
"155/10:23:02","155/10:42:23","S AVAIL","true"
"155/10:42:43","155/11:22:05","KU AVAIL","true"
"155/10:42:43","155/11:22:05","S AVAIL","true"
"155/11:22:25","155/11:57:39","KU AVAIL","true"
"155/11:22:25","155/11:57:42","S AVAIL","true"
"155/11:58:02","155/12:23:02","S AVAIL","true"
"155/12:01:38","155/12:23:02","KU AVAIL","true"
"155/12:23:22","155/13:02:21","KU AVAIL","true"
"155/12:23:22","155/13:02:21","S AVAIL","true"
"155/13:02:41","155/13:39:56","KU AVAIL","true"
"155/13:02:41","155/13:37:45","S AVAIL","true"
"155/13:38:33","155/13:39:56","S AVAIL","true"
"155/13:40:16","155/14:06:04","KU AVAIL","true"
"155/13:40:16","155/14:06:04","S AVAIL","true"
"155/14:06:24","155/14:39:47","KU AVAIL","true"
"155/14:06:24","155/14:39:47","S AVAIL","true"
"155/14:40:07","155/15:13:58","KU AVAIL","true"
"155/14:40:07","155/15:13:58","S AVAIL","true"
"155/15:14:18","155/15:44:59","KU AVAIL","true"
"155/15:14:18","155/15:44:59","S AVAIL","true"
"155/15:45:19","155/16:10:16","KU AVAIL","true"
"155/15:45:19","155/16:10:16","S AVAIL","true"
"155/16:12:48","155/16:14:05","KU AVAIL","true"
"155/16:13:01","155/16:56:46","S AVAIL","true"
"155/16:15:12","155/16:56:46","KU AVAIL","true"
"155/16:57:06","155/17:21:31","KU AVAIL","true"
"155/16:57:06","155/17:21:31","S AVAIL","true"
"155/17:21:51","155/18:04:36","KU AVAIL","true"
"155/17:21:51","155/18:04:36","S AVAIL","true"
"155/18:04:56","155/18:40:50","KU AVAIL","true"
"155/18:04:56","155/18:40:50","S AVAIL","true"
"155/18:41:10","155/19:05:57","KU AVAIL","true"
"155/18:41:10","155/19:05:57","S AVAIL","true"
"155/19:06:17","155/19:38:28","KU AVAIL","true"
"155/19:06:17","155/19:38:28","S AVAIL","true"
"155/19:38:48","155/20:19:26","S AVAIL","true"
"155/19:43:11","155/20:18:13","KU AVAIL","true"
"155/20:20:21","155/20:24:17","S AVAIL","true"
"155/20:27:34","155/20:28:29","S AVAIL","true"
"155/20:31:12","155/21:16:52","S AVAIL","true"
"155/20:40:43","155/21:16:19","KU AVAIL","true"
"155/21:17:32","155/21:19:26","KU AVAIL","true"
"155/21:17:52","155/21:19:26","S AVAIL","true"
"155/21:19:46","155/22:01:06","S AVAIL","true"
"155/21:20:50","155/21:57:58","KU AVAIL","true"
"155/22:09:56","155/22:51:08","KU AVAIL","true"
"155/22:20:05","155/22:51:08","S AVAIL","true"
"155/22:51:28","155/23:37:47","S AVAIL","true"
"155/22:51:59","155/23:39:10","KU AVAIL","true"
"155/23:50:36","155/23:52:00","KU AVAIL","true"
"155/23:50:57","156/00:32:32","S AVAIL","true"
"155/23:53:01","156/00:32:32","KU AVAIL","true"
"156/00:32:52","156/01:16:01","KU AVAIL","true"
"156/00:32:52","156/01:16:01","S AVAIL","true"
"156/01:33:25","156/01:34:45","KU AVAIL","true"
"156/01:33:44","156/02:14:26","S AVAIL","true"
"156/01:35:46","156/02:14:26","KU AVAIL","true"
"156/02:14:46","156/02:57:25","KU AVAIL","true"
"156/02:14:46","156/02:57:42","S AVAIL","true"
"156/03:14:48","156/03:55:50","KU AVAIL","true"
"156/03:24:19","156/03:55:50","S AVAIL","true"
"156/03:56:10","156/04:40:04","KU AVAIL","true"
"156/03:56:10","156/04:40:16","S AVAIL","true"
"156/04:52:49","156/05:36:01","S AVAIL","true"
"156/05:02:07","156/05:36:01","KU AVAIL","true"
"156/05:36:21","156/06:20:27","S AVAIL","true"
"156/05:36:56","156/06:20:27","KU AVAIL","true"
"156/06:30:47","156/07:16:24","S AVAIL","true"
"156/06:39:30","156/07:16:24","KU AVAIL","true"
"156/07:16:44","156/07:58:48","KU AVAIL","true"
"156/07:16:44","156/07:58:48","S AVAIL","true"
"156/07:59:08","156/08:09:13","KU AVAIL","true"
"156/07:59:08","156/08:09:13","S AVAIL","true"
"156/08:09:33","156/08:55:41","KU AVAIL","true"
"156/08:09:33","156/08:55:41","S AVAIL","true"
"156/08:56:01","156/09:33:59","S AVAIL","true"
"156/08:56:58","156/09:33:59","KU AVAIL","true"
"156/09:34:19","156/09:53:28","KU AVAIL","true"
"156/09:34:19","156/09:53:28","S AVAIL","true"
"156/09:53:48","156/10:32:19","KU AVAIL","true"
"156/09:53:48","156/10:32:19","S AVAIL","true"
"156/10:33:54","156/11:08:47","KU AVAIL","true"
"156/10:33:54","156/11:09:28","S AVAIL","true"
"156/11:09:48","156/11:33:42","S AVAIL","true"
"156/11:13:03","156/11:33:42","KU AVAIL","true"
"156/11:34:02","156/12:13:32","KU AVAIL","true"
"156/11:34:02","156/12:13:32","S AVAIL","true"
"156/12:13:52","156/12:53:17","KU AVAIL","true"
"156/12:13:52","156/12:53:17","S AVAIL","true"
"156/12:53:37","156/13:16:35","KU AVAIL","true"
"156/12:53:37","156/13:16:35","S AVAIL","true"
"156/13:16:55","156/13:52:04","KU AVAIL","true"
"156/13:16:55","156/13:52:04","S AVAIL","true"
"156/13:52:24","156/14:24:49","KU AVAIL","true"
"156/13:52:24","156/14:24:49","S AVAIL","true"
"156/14:25:09","156/14:58:07","KU AVAIL","true"
"156/14:25:09","156/14:58:07","S AVAIL","true"
"156/14:58:27","156/15:31:16","KU AVAIL","true"
"156/14:58:27","156/15:31:16","S AVAIL","true"
"156/15:31:36","156/16:07:08","KU AVAIL","true"
"156/15:31:36","156/16:07:08","S AVAIL","true"
"156/16:07:28","156/16:34:25","KU AVAIL","true"
"156/16:07:28","156/16:34:25","S AVAIL","true"
"156/16:34:45","156/17:13:14","KU AVAIL","true"
"156/16:34:45","156/17:13:14","S AVAIL","true"
"156/17:13:34","156/17:57:40","KU AVAIL","true"
"156/17:13:34","156/17:57:40","S AVAIL","true"
"156/17:58:00","156/18:15:38","KU AVAIL","true"
"156/17:58:00","156/18:15:38","S AVAIL","true"
"156/18:15:58","156/18:50:50","KU AVAIL","true"
"156/18:15:58","156/18:51:27","S AVAIL","true"
"156/18:53:34","156/19:30:34","KU AVAIL","true"
"156/18:54:34","156/19:30:40","S AVAIL","true"
"156/19:32:04","156/19:34:09","S AVAIL","true"
"156/19:43:01","156/20:25:53","S AVAIL","true"
"156/19:52:24","156/20:25:53","KU AVAIL","true"
"156/20:27:23","156/21:13:15","S AVAIL","true"
"156/20:32:39","156/21:08:10","KU AVAIL","true"
"156/21:21:23","156/22:01:52","KU AVAIL","true"
"156/21:31:03","156/22:01:52","S AVAIL","true"
"156/22:05:29","156/22:49:55","S AVAIL","true"
"156/22:10:05","156/22:50:58","KU AVAIL","true"
"156/23:01:07","156/23:02:26","KU AVAIL","true"
"156/23:03:13","156/23:40:35","S AVAIL","true"
"156/23:04:26","156/23:40:35","KU AVAIL","true"
"156/23:43:51","157/00:27:11","KU AVAIL","true"
"156/23:43:51","157/00:27:11","S AVAIL","true"
"157/00:44:01","157/00:45:25","KU AVAIL","true"
"157/00:44:12","157/01:24:53","S AVAIL","true"
"157/00:46:29","157/01:24:53","KU AVAIL","true"
"157/01:25:13","157/01:59:33","KU AVAIL","true"
"157/01:25:13","157/01:59:33","S AVAIL","true"
"157/02:19:33","157/02:36:08","KU AVAIL","true"
"157/02:19:33","157/02:36:08","S AVAIL","true"
"157/02:36:28","157/03:07:14","KU AVAIL","true"
"157/02:36:28","157/03:07:14","S AVAIL","true"
"157/03:07:55","157/03:50:46","KU AVAIL","true"
"157/03:07:55","157/03:51:05","S AVAIL","true"
"157/04:04:29","157/04:44:55","S AVAIL","true"
"157/04:13:53","157/04:44:55","KU AVAIL","true"
"157/04:46:22","157/05:31:52","S AVAIL","true"
"157/04:46:41","157/05:31:52","KU AVAIL","true"
"157/05:42:06","157/06:21:11","S AVAIL","true"
"157/05:51:20","157/06:21:11","KU AVAIL","true"
"157/06:27:05","157/07:10:53","S AVAIL","true"
"157/06:27:12","157/07:11:36","KU AVAIL","true"
"157/07:19:52","157/07:57:43","S AVAIL","true"
"157/07:22:09","157/07:57:43","KU AVAIL","true"
"157/08:03:28","157/08:41:45","KU AVAIL","true"
"157/08:03:28","157/08:41:45","S AVAIL","true"
